File name,Edges modified,Execution time
heur147.gr,148412,29.486189603805542
heur148.gr,2735,1.323761224746704
heur149.gr,4026,0.2136836051940918
heur150.gr,35793,0.6711711883544922
heur151.gr,43580,0.7090370655059814
heur152.gr,174146,1.579016923904419
heur153.gr,191984,1.814131259918213
heur154.gr,580282,5.10505747795105
heur155.gr,598009,6.699373483657837
heur156.gr,1341596,14.04013705253601
heur157.gr,1382782,14.163233518600464
heur158.gr,849223,26.33857297897339
heur159.gr,784235,27.017213821411133
heur160.gr,186102,30.097221851348877
heur161.gr,22268,30.190990209579468
heur162.gr,54196,3.3965277671813965
heur163.gr,70700,1.888197898864746
heur164.gr,81734,2.2413110733032227
heur165.gr,348999,3.88374924659729
heur166.gr,60611,1.202063798904419
heur167.gr,8044,0.3257300853729248
heur168.gr,19392,0.3622419834136963
heur169.gr,11475,0.3227832317352295
heur170.gr,24368,0.44371461868286133
heur171.gr,29451,0.870654821395874
heur172.gr,29755,1.1822996139526367
heur173.gr,18268,0.8295259475708008
heur174.gr,37381,0.9444591999053955
heur175.gr,58310,2.064882516860962
heur176.gr,144942,3.203538656234741
heur177.gr,49904,1.1518125534057617
heur178.gr,66666,2.067431926727295
heur179.gr,161136,4.977737903594971
heur180.gr,378645,12.385966777801514
heur181.gr,312793,101.83087301254272
heur182.gr,449377,13.385663509368896
heur183.gr,1155250,20.931904554367065
heur184.gr,330867,107.39325499534607
heur185.gr,332742,122.8485255241394
heur186.gr,482808,16.43027138710022
heur187.gr,473993,168.0530548095703
heur188.gr,846190,57.76433348655701
heur189.gr,639366,37.243382930755615
heur190.gr,1745324,329.0834016799927
heur191.gr,715239,41.17036247253418
heur192.gr,772206,53.603161334991455
heur193.gr,679355,52.02742910385132
heur194.gr,1804930,73.55104780197144
heur195.gr,1886984,74.69782090187073
heur196.gr,1863199,85.63344359397888
heur197.gr,1037255,93.72757983207703
heur198.gr,2728798,211.9079475402832
heur199.gr,1280096,117.67635679244995
heur200.gr,1856261,203.6653814315796
